11519,8907,90,40
11520,8160,90,36
11520,8533,90,38
11521,7787,90,34
11522,7414,90,32
11523,7040,90,30
11532,3681,90,12
11625,9094,91,41
11626,8720,91,39
11627,8347,91,37
11628,7974,91,35
11629,7600,91,33
11630,7227,91,31
11631,6854,91,29
11639,3868,91,13
11640,3494,91,11
11732,9281,92,42
11733,8907,92,40
11734,8534,92,38
11735,8161,92,36
11736,7787,92,34
11737,7414,92,32
11738,7041,92,30
11746,3681,92,12
11839,9467,93,43
11840,9094,93,41
11841,8721,93,39
11842,8348,93,37
11843,7974,93,35
11844,7601,93,33
11845,7228,93,31
11853,3868,93,13
11945,10028,94,46
11946,9654,94,44
11947,9281,94,42
11948,8908,94,40
11949,8535,94,38
11950,8161,94,36
11951,7415,94,32
11951,7788,94,34
11952,7041,94,30
12053,9468,95,43
12053,9841,95,45
12054,9095,95,41
12055,8721,95,39
12056,8348,95,37
12057,7975,95,35
12058,7602,95,33
12059,7228,95,31
12157,10775,96,50
12159,10028,96,46
12160,9655,96,44
12161,9282,96,42
12162,8908,96,40
12163,8535,96,38
12164,8162,96,36
12165,7788,96,34
12166,7415,96,32
12265,10588,97,49
12266,10215,97,47
12267,9842,97,45
12268,9469,97,43
12269,9095,97,41
12270,8722,97,39
12271,8349,97,37
12272,7975,97,35
12273,7602,97,33
12274,7229,97,31
12373,10402,98,48
12374,10029,98,46
12375,9655,98,44
12376,9282,98,42
12377,8909,98,40
12378,8536,98,38
12379,8162,98,36
12380,7789,98,34
12381,7416,98,32
12480,10589,99,49
12481,10216,99,47
12482,9842,99,45
12483,9469,99,43
12484,8723,99,39
12484,9096,99,41
12485,8349,99,37
12486,7976,99,35
12487,7603,99,33
12588,10029,100,46
12589,9656,100,44
12590,9283,100,42
12591,8909,100,40
12592,8536,100,38
12593,8163,100,36
12594,7790,100,34
12595,7416,100,32
12697,9470,101,43
12698,9096,101,41
12699,8723,101,39
12700,8350,101,37
12701,7977,101,35
12702,7603,101,33
12805,9283,102,42
12806,8910,102,40
12807,8537,102,38
12808,8163,102,36
12809,7790,102,34
12913,9097,103,41
12914,8350,103,37
12914,8724,103,39
12915,7977,103,35
13020,8911,104,40
13021,8537,104,38
13022,8164,104,36
13128,8724,105,39
13129,8351,105,37
13236,8538,106,38
1860,10749,0,50
3693,6834,17,29
3697,5341,17,21
3801,6647,18,28
3804,5527,18,22
3805,5154,18,20
3909,6461,19,27
3911,5714,19,23
3912,5341,19,21
3913,4968,19,19
4018,5901,20,24
4019,5528,20,22
4020,4781,20,18
4020,5155,20,20
4125,5715,21,23
4126,5342,21,21
4127,4968,21,19
