,pxl_row_in_fullres,pxl_col_in_fullres,spot_index,cell_index,cell_nums
313,4433.010384677744,5132.0,112,112_2,3
315,4324.0,5878.0,116,116_0,2
316,4463.0,5739.0,116,116_1,2
317,4452.381385567749,2903.3539280136806,117,117_0,15
318,4410.440180270187,2847.0,117,117_1,15
319,4478.7008169856945,2986.0,117,117_2,15
320,4473.718165774306,2946.140392264908,117,117_3,15
321,4404.424889166633,2873.100561996833,117,117_4,15
322,4496.507424363868,2850.1914695387927,117,117_5,15
323,4513.301688303862,2964.065422962346,117,117_6,15
324,4524.0,2923.994219000224,117,117_7,15
325,4500.558883748915,2939.5372430443635,117,117_8,15
326,4406.47979202175,2887.9103714290636,117,117_9,15
327,4395.300417324015,2857.4736364089936,117,117_10,15
328,4420.752874422059,2863.209047233654,117,117_11,15
329,4385.0,2868.5267354065254,117,117_12,15
330,4433.798791965354,2881.109369242161,117,117_13,15
331,4491.314445244468,2926.4885118880925,117,117_14,15
332,4517.582456041848,3102.1381736316307,118,118_0,11
333,4488.4421651637185,3080.039214023347,118,118_1,11
334,4393.923351550942,3104.7816213547726,118,118_2,11
335,4384.0,3033.0,118,118_3,11
336,4477.00558016909,3145.0821550217597,118,118_4,11
337,4523.0,3114.6488907649737,118,118_5,11
338,4427.631573710135,3172.0,118,118_6,11
339,4469.1353023621505,3098.762564454514,118,118_7,11
340,4437.217627686455,3038.8926482126717,118,118_8,11
341,4460.414063068968,3163.0384551462835,118,118_9,11
342,4424.207233773659,3078.6938861828894,118,118_10,11
343,4509.94459988808,3319.50726320497,119,119_0,13
344,4474.373112250899,3223.6091169084766,119,119_1,13
345,4480.413483428295,3333.816996803673,119,119_2,13
346,4523.0,3220.0,119,119_3,13
347,4487.792247359679,3359.0,119,119_4,13
348,4384.0,3305.7095391528774,119,119_5,13
349,4461.504205330371,3274.7139477725736,119,119_6,13
350,4445.18207186128,3341.0461572712493,119,119_7,13
351,4419.75617361951,3270.8364575676605,119,119_8,13
352,4434.552596530498,3232.2307724698667,119,119_9,13
353,4444.918279528395,3358.5917805684185,119,119_10,13
354,4461.732598428836,3308.889649937686,119,119_11,13
355,4434.108449916061,3256.6477286320064,119,119_12,13
356,4466.3036598362105,4069.090223003444,120,120_0,7
357,4475.0907822956115,4106.0,120,120_1,7
358,4496.819605532937,4009.54716111844,120,120_2,7
359,4453.720021812217,4104.900951782502,120,120_3,7
360,4382.0,4062.107994838784,120,120_4,7
361,4482.584285347388,4043.757567257758,120,120_5,7
362,4521.0,3967.0,120,120_6,7
367,4519.0,5226.0,126,126_0,2
368,4380.0,5087.0,126,126_1,2
369,4518.0,5412.0,127,127_0,2
370,4379.0,5273.0,127,127_1,2
371,4517.0,5646.0,129,129_0,2
372,4378.0,5785.0,129,129_1,2
373,4578.0,2796.551174462736,131,131_0,6
374,4444.147988524105,2782.1278173337428,131,131_1,6
375,4553.147593246351,2893.0,131,131_2,6
376,4548.139770553986,2754.0,131,131_3,6
377,4439.0,2799.163042712733,131,131_4,6
378,4508.588352833616,2763.743181576653,131,131_5,6
379,4567.076987466609,3019.599866360283,132,132_0,16
380,4562.144057850752,2947.512930301601,132,132_1,16
381,4543.427129653221,3073.629805402393,132,132_2,16
382,4438.0,3018.657715694574,132,132_3,16
383,4549.856815137707,3036.895603668809,132,132_4,16
